revid,user,deadname_count,page,timestamp
213101415,Cymbella,1,Elliot_Page,2024-03-06T08:50:38Z
213100978,Sherwood6,1,Elliot_Page,2024-03-06T08:34:24Z
212939166,Sherwood6,2,Elliot_Page,2024-03-01T13:33:48Z
212803201,Triboulet sur une montagne,3,Elliot_Page,2024-02-25T20:00:54Z
212863799,Sherwood6,1,discussion:Elliot_Page,2024-02-27T21:40:09Z
212846485,GF38storic,4,discussion:Elliot_Page,2024-02-27T10:19:07Z
212823412,GF38storic,2,discussion:Elliot_Page,2024-02-26T13:46:27Z
212820314,Sherwood6,1,discussion:Elliot_Page,2024-02-26T11:36:35Z
212793265,GF38storic,1,discussion:Elliot_Page,2024-02-25T14:51:21Z
212790878,GF38storic,2,discussion:Elliot_Page,2024-02-25T13:51:44Z
213120783,Sherwood6,1,Chelsea_Manning,2024-03-06T21:08:17Z
213119113,Sherwood6,1,Chelsea_Manning,2024-03-06T19:41:06Z
213119006,Sherwood6,1,Chelsea_Manning,2024-03-06T19:30:35Z
213118504,Sherwood6,12,Chelsea_Manning,2024-03-06T19:05:38Z
213067980,Triboulet sur une montagne,6,Chelsea_Manning,2024-03-05T06:39:57Z
213045919,Sherwood6,6,Chelsea_Manning,2024-03-04T16:24:04Z
213037914,Sherwood6,6,Chelsea_Manning,2024-03-04T12:33:08Z
213121801,Sherwood6,1,discussion:Chelsea_Manning,2024-03-06T21:54:15Z
213119090,Sherwood6,1,discussion:Chelsea_Manning,2024-03-06T19:38:20Z
213119081,Sherwood6,1,discussion:Chelsea_Manning,2024-03-06T19:35:43Z
213079128,Sherwood6,8,discussion:Chelsea_Manning,2024-03-05T14:00:38Z
213069288,Sherwood6,5,discussion:Chelsea_Manning,2024-03-05T08:04:40Z
213051262,Sherwood6,1,discussion:Chelsea_Manning,2024-03-04T19:19:46Z
213046400,Sherwood6,1,discussion:Chelsea_Manning,2024-03-04T16:35:33Z
213045989,Sherwood6,1,discussion:Chelsea_Manning,2024-03-04T16:26:10Z
213045820,Sherwood6,1,discussion:Chelsea_Manning,2024-03-04T16:22:37Z
213704822,Cymbella,2,Ivan_Mackenzie_Lamb,2024-03-26T20:16:14Z
213112486,Cymbella,2,Ivan_Mackenzie_Lamb,2024-03-06T14:52:30Z
213905277,Cymbella,1,discussion:Ivan_Mackenzie_Lamb,2024-04-02T15:29:37Z
213900741,GF38storic,1,discussion:Ivan_Mackenzie_Lamb,2024-04-02T12:43:32Z
213884313,Cymbella,1,discussion:Ivan_Mackenzie_Lamb,2024-04-01T21:18:37Z
213843134,Cymbella,1,discussion:Ivan_Mackenzie_Lamb,2024-03-31T17:10:53Z
213732723,Sherwood6,1,discussion:Ivan_Mackenzie_Lamb,2024-03-27T17:58:19Z
213729217,Cymbella,1,discussion:Ivan_Mackenzie_Lamb,2024-03-27T16:01:44Z
213723362,Sherwood6,1,discussion:Ivan_Mackenzie_Lamb,2024-03-27T12:43:39Z
213538736,Cymbella,1,discussion:Ivan_Mackenzie_Lamb,2024-03-21T13:50:11Z
213537083,Sherwood6,1,discussion:Ivan_Mackenzie_Lamb,2024-03-21T12:43:03Z
213536879,Sherwood6,1,discussion:Ivan_Mackenzie_Lamb,2024-03-21T12:35:16Z
213535423,Cymbella,2,discussion:Ivan_Mackenzie_Lamb,2024-03-21T11:22:29Z
213534030,Cymbella,1,discussion:Ivan_Mackenzie_Lamb,2024-03-21T10:26:34Z
213521178,Sherwood6,1,discussion:Ivan_Mackenzie_Lamb,2024-03-20T19:43:38Z
213519286,Sherwood6,1,discussion:Ivan_Mackenzie_Lamb,2024-03-20T18:05:21Z
213511085,Cymbella,1,discussion:Ivan_Mackenzie_Lamb,2024-03-20T13:20:01Z
213479789,Cymbella,2,discussion:Ivan_Mackenzie_Lamb,2024-03-19T10:54:34Z
213907260,GF38storic,3,discussion:Herbier_Farlow,2024-04-02T16:42:34Z
213904358,GF38storic,19,discussion:Herbier_Farlow,2024-04-02T14:55:26Z
213903947,Cymbella,1,discussion:Herbier_Farlow,2024-04-02T14:38:10Z
213901485,GF38storic,2,discussion:Herbier_Farlow,2024-04-02T13:16:12Z
213122863,Sherwood6,2,Wendy_Carlos,2024-03-06T22:38:35Z
212853837,Sherwood6,1,Wendy_Carlos,2024-02-27T15:31:43Z
212844146,Cymbella,1,Wendy_Carlos,2024-02-27T08:42:02Z
212835323,Cymbella,1,Wendy_Carlos,2024-02-26T21:16:20Z
213236855,GF38storic,34,discussion:Wendy_Carlos,2024-03-10T19:33:36Z
212925337,Sherwood6,1,discussion:Wendy_Carlos,2024-02-29T23:21:59Z
213043964,Sherwood6,4,Andréa_Furet,2024-03-04T15:36:51Z
213122402,Sherwood6,1,discussion:Andréa_Furet,2024-03-06T22:17:24Z
213115664,Sherwood6,2,discussion:Andréa_Furet,2024-03-06T16:59:36Z
213075687,Sherwood6,2,discussion:Andréa_Furet,2024-03-05T11:55:45Z
213071959,Sherwood6,2,discussion:Andréa_Furet,2024-03-05T09:44:46Z
